City Number,City Name
1488414,Urengoy
2630299,Hofn
2094027,Kieta
2729907,Longyearbyen
1015776,Bredasdorp
5106834,Albany
1014034,Carnarvon
3874787,Punta Arenas
1006984,East London
3893629,Coquimbo
1509844,Boguchany
1273574,Vaini
2163355,Hobart
2158767,Mareeba
5880568,Bethel
3833367,Ushuaia
3427208,Pilar
1273574,Vaini
341297,Butajira
2520058,Cartagena
2161376,Kingaroy
NaN,Bengkulu
NaN,Taolanaro
5848280,Kapaa
3359638,Walvis Bay
6166142,Thunder Bay
3466980,Caravelas
5106834,Albany
NaN,Tsihombe
1273574,Vaini
3671450,Inirida
NaN,Barentsburg
1848373,Fukue
4696310,Harper
3874787,Punta Arenas
4501427,Port Elizabeth
1733782,Victoria
NaN,Toliary
4030556,Rikitea
2175403,Bluff
3652764,Puerto Ayora
2121025,Srednekolymsk
3833367,Ushuaia
NaN,Olafsvik
2163355,Hobart
302819,Patnos
3697083,Eten
1486910,Komsomolskiy
1014034,Carnarvon
NaN,Sentyabrskiy
1006984,East London
2126123,Chokurdakh
2164206,Gunnedah
2012938,Yerofey Pavlovich
5106834,Albany
1275637,Bilaspur
NaN,Barentsburg
2075265,Busselton
286987,Nizwa
2065594,Mount Isa
3652764,Puerto Ayora
4021858,Guerrero Negro
2075265,Busselton
3369157,Cape Town
2022572,Khatanga
2069194,Jamestown
NaN,Taolanaro
4020109,Atuona
NaN,Westpunt
964432,Port Alfred
986717,Kruisfontein
3874787,Punta Arenas
5848280,Kapaa
NaN,Taolanaro
3418910,Upernavik
NaN,Amderma
3833367,Ushuaia
2621072,Guderup
2069194,Jamestown
1651810,Airai
3831208,Qaanaaq
3453439,Ponta Do Sol
496381,Severnoye
NaN,Neuchatel
6170031,Tuktoyaktuk
3182812,Arona
2173911,Broken Hill
72181,Marzuq
4020109,Atuona
NaN,Belushya Guba
5563397,Eureka
3833367,Ushuaia
1269811,Idukki
3137469,Sorland
NaN,Pousat
3833367,Ushuaia
5960603,Geraldton
3831208,Qaanaaq
524305,Murmansk
1637001,Biak
2013465,Verkhoyansk
1283285,Jumla
NaN,Illoqqortoormiut
3443061,Chuy
3471451,Arraial Do Cabo
2160063,Codrington
NaN,Taolanaro
344979,Lebu
6148373,Sioux Lookout
3105522,Bereda
290104,Sitrah
964432,Port Alfred
NaN,Taolanaro
2075265,Busselton
3119841,Beira
2126785,Belaya Gora
2337542,Naze
2122090,Pevek
5606187,Saint Anthony
2180815,Tuatapere
NaN,Glubokoe
1015776,Bredasdorp
2069194,Jamestown
3366880,Hermanus
3833367,Ushuaia
3833367,Ushuaia
NaN,Tsihombe
6201424,Mataura
5106834,Albany
1688687,San Quintin
4034551,Faanui
2303611,Axim
3831208,Qaanaaq
2088659,Panguna
3894426,Coihaique
NaN,Mys Shmidta
NaN,Taolanaro
4030556,Rikitea
6201424,Mataura
4034551,Faanui
2069194,Jamestown
2175403,Bluff
NaN,Cheuskiny
3372707,Ribeira Grande
3874787,Punta Arenas
5880568,Bethel
637314,Tornio
233093,Kaabong
5866063,Kenai
3833367,Ushuaia
2126123,Chokurdakh
5847411,Kahului
5848280,Kapaa
6138908,Saint-Philippe
2110227,Butaritari
1733782,Victoria
3037456,Saint-Joseph
367544,Sawakin
2208248,Kaitangata
499099,Samara
3429886,Posadas
5855927,Hilo
1803245,Lishui
NaN,Korla
2094342,Kavieng
2069194,Jamestown
3863379,Mar Del Plata
1803331,Linxia
2155415,New Norfolk
2175403,Bluff
6185377,Yellowknife
4020109,Atuona
3378644,Georgetown
2175403,Bluff
1015776,Bredasdorp
3694725,Moche
6165406,Thompson
3833367,Ushuaia
344979,Lebu
904422,Mumbwa
2729907,Longyearbyen
1106677,Bambous Virieux
3037899,Ambon
4030556,Rikitea
779554,Honningsvag
NaN,Buon Me Thuot
NaN,Mys Shmidta
3833367,Ushuaia
6620339,Karratha
123941,Minab
1649593,Bandar
6201424,Mataura
NaN,Nizhneyansk
NaN,Mys Shmidta
1282256,Hithadhoo
3894426,Coihaique
88319,Benghazi
3378644,Georgetown
4034551,Faanui
1651810,Airai
2610343,Vestmanna
2270385,Camacha
5106834,Albany
3453439,Ponta Do Sol
NaN,Bafra
3652764,Puerto Ayora
588365,Vao
2094342,Kavieng
3378644,Georgetown
1507565,Dalmatovo
2618795,Klaksvik
3831208,Qaanaaq
NaN,Taolanaro
287832,Ibra
3391889,Pitimbu
1282256,Hithadhoo
NaN,Bardiyah
3938415,Ilo
3372707,Ribeira Grande
2163355,Hobart
2012530,Zhigansk
3461370,Imbituba
2075265,Busselton
2069194,Jamestown
4407665,Kodiak
244878,Biltine
3833859,Barrow
3366880,Hermanus
4030556,Rikitea
3831208,Qaanaaq
527321,Mezen
3652764,Puerto Ayora
2017215,Sangar
3424607,Tasiilaq
5380437,Pacific Grove
NaN,Urumqi
1273574,Vaini
5106834,Albany
5848280,Kapaa
2656067,Broome
2069194,Jamestown
3939761,Hualmay
NaN,Taolanaro
204318,Wamba
3874787,Punta Arenas
2175403,Bluff
6201424,Mataura
3896218,Castro
4030556,Rikitea
4020109,Atuona
1714733,Dingle
2163355,Hobart
1006984,East London
986717,Kruisfontein
2092164,Lorengau
2012956,Yerbogachen
3874787,Punta Arenas
NaN,Samusu
4033557,Tautira
2737599,Saldanha
3406844,Baiao
2980916,Saint-Denis
4501427,Port Elizabeth
6165406,Thompson
2487130,Sidi Ali
2126123,Chokurdakh
3443061,Chuy
1082243,Ambilobe
6201424,Mataura
1529484,Hami
1280957,Jiuquan
6144312,Sept-Iles
3418910,Upernavik
2110227,Butaritari
3833367,Ushuaia
5955902,Fort Nelson
2347758,Bara
3391889,Pitimbu
3465228,Coxim
2163355,Hobart
3395458,Maragogi
504391,Gofitskoye
1529484,Hami
2075265,Busselton
4030556,Rikitea
3863379,Mar Del Plata
4020109,Atuona
1258980,Raipur
3896218,Castro
NaN,Palabuhanratu
2160517,Launceston
2075265,Busselton
3573197,Hamilton
7535694,Desbiens
NaN,Halalo
4021858,Guerrero Negro
3421319,Nuuk
3533462,Acapulco
3369157,Cape Town
3372707,Ribeira Grande
3874787,Punta Arenas
1014034,Carnarvon
3408424,Ipixuna
2163355,Hobart
3874787,Punta Arenas
1160571,Khash
6201424,Mataura
4030556,Rikitea
2075265,Busselton
3366880,Hermanus
4020109,Atuona
4031574,Provideniya
5855927,Hilo
3833367,Ushuaia
2163355,Hobart
6089245,Norman Wells
2075265,Busselton
3833859,Barrow
2598243,Soubre
1622318,Waingapu
2110227,Butaritari
5855927,Hilo
3471451,Arraial Do Cabo
3874787,Punta Arenas
5847411,Kahului
3985710,Cabo San Lucas
5850554,Makakilo City
6170031,Tuktoyaktuk
2155415,New Norfolk
4414001,Wentzville
3418910,Upernavik
4696310,Harper
NaN,Amderma
2075265,Busselton
2112444,Kamaishi
1805270,Jishou
300791,Simav
1486910,Komsomolskiy
3372707,Ribeira Grande
2121385,Severo-Kurilsk
2395317,Banikoara
2121025,Srednekolymsk
NaN,Taolanaro
5106834,Albany
NaN,Fevralsk
6201424,Mataura
2075265,Busselton
NaN,Sofiysk
6320062,Vila Velha
3652764,Puerto Ayora
6185377,Yellowknife
6162949,Terrace
3443061,Chuy
2123814,Leningradskiy
1257919,Sabathu
110690,Faya
6201424,Mataura
4034551,Faanui
1303406,Nyaunglebin
5393052,Santa Cruz
6050066,La Ronge
3652764,Puerto Ayora
1626542,Sorong
5855927,Hilo
1701054,Marawi
1014034,Carnarvon
749747,Ayan
2178753,Kirakira
4030556,Rikitea
3981460,Coahuayana
3831208,Qaanaaq
2092164,Lorengau
3573739,Esperance
1014034,Carnarvon
1715015,Dicabisagan
6201424,Mataura
2152659,Port Macquarie
3369157,Cape Town
2075265,Busselton
3996647,Mapimi
6295855,Saint-Georges
NaN,Vaitupu
4030556,Rikitea
2075265,Busselton
1015776,Bredasdorp
2511180,Santa Cruz De La Palma
4031742,Egvekinot
6113335,Prince Albert
1733782,Victoria
3412093,Vestmannaeyjar
1006984,East London
3874787,Punta Arenas
1015776,Bredasdorp
4030556,Rikitea
2110227,Butaritari
1006984,East London
4013704,Laguna
5924351,Clyde River
2128975,Nemuro
3418910,Upernavik
4030556,Rikitea
5605242,Rexburg
6121621,Revelstoke
3652764,Puerto Ayora
2069194,Jamestown
4031574,Provideniya
NaN,Sentyabrskiy
3027422,Epernay
2517679,Fortuna
6068416,Mayo
5848280,Kapaa
780687,Berlevag
2156643,Mount Gambier
3985710,Cabo San Lucas
6165406,Thompson
344979,Lebu
2075265,Busselton
3838859,Rio Gallegos
NaN,Bur Gabo
3874787,Punta Arenas
6201424,Mataura
NaN,Taolanaro
1714733,Dingle
4021858,Guerrero Negro
6165406,Thompson
4035715,Avarua
2121385,Severo-Kurilsk
3671519,Puerto Carreno
4030556,Rikitea
NaN,Mahanje
4030556,Rikitea
4021858,Guerrero Negro
3985710,Cabo San Lucas
NaN,Olafsvik
2015306,Tiksi
2108502,Honiara
2126123,Chokurdakh
1495812,Ous
2447513,Arlit
4407665,Kodiak
6089245,Norman Wells
2156643,Mount Gambier
5106834,Albany
1507390,Dikson
4030556,Rikitea
NaN,Tumannyy
NaN,Illoqqortoormiut
2181625,Te Anau
5380437,Pacific Grove
2155415,New Norfolk
1852357,Shimoda
5554072,Douglas
2362323,Bogande
1028434,Quelimane
2399371,Makokou
1106677,Bambous Virieux
1855612,Nara
2634739,Warrington
3378644,Georgetown
NaN,Umzimvubu
4035715,Avarua
2175403,Bluff
NaN,Abu Jubayhah
2189343,Kaeo
NaN,Taolanaro
3355672,Luderitz
2028028,Aksha
909887,Luangwa
2110227,Butaritari
6255012,Flinders
1244926,Hambantota
1273574,Vaini
1626932,Singaraja
3139765,Setermoen
4035249,Lufilufi
2012530,Zhigansk
3939761,Hualmay
2019867,Mokhsogollokh
1507390,Dikson
3833367,Ushuaia
4062577,Florence
3871336,Santiago
4020109,Atuona
2121385,Severo-Kurilsk
6113365,Prince George
NaN,Asau
6201424,Mataura
546105,Nikolskoye
1847947,Shingu
964432,Port Alfred
6165406,Thompson
3652764,Puerto Ayora
1015776,Bredasdorp
4011743,Constitucion
1260206,Pasighat
4033557,Tautira
NaN,Nizhneyansk
3833367,Ushuaia
3424607,Tasiilaq
2303611,Axim
2155415,New Norfolk
3652764,Puerto Ayora
1273574,Vaini
2093967,Kimbe
5570065,Red Bluff
6201424,Mataura
2122614,Okha
2075265,Busselton
1529484,Hami
1259385,Port Blair
3665542,Zipaquira
NaN,Asau
4501427,Port Elizabeth
2094027,Kieta
4030556,Rikitea
4031574,Provideniya
2508813,Adrar
3833367,Ushuaia
336350,Goba
1280957,Jiuquan
2156643,Mount Gambier
2179103,Whitianga
2729907,Longyearbyen
2120048,Ust-Nera
2022317,Khor
2271968,Aljezur
1015776,Bredasdorp
6138908,Saint-Philippe
4030556,Rikitea
3838859,Rio Gallegos
1792592,Tongren
4031574,Provideniya
157738,Kigoma
4013704,Laguna
3471451,Arraial Do Cabo
2121385,Severo-Kurilsk
3652764,Puerto Ayora
NaN,Samusu
1062663,Mahajanga
2112802,Hasaki
5106834,Albany
2212775,Sabha
5848280,Kapaa
3369157,Cape Town
2068110,Kununurra
NaN,Bardiyah
3833859,Barrow
3874787,Punta Arenas
897456,Sinazongwe
1863495,Gushikawa
